review,sentiment
The book I ordered came exactly when promised. Checkout was fast and easy.,0.6597
They are Fast and Accurate,0.0
Excellent communication throughout the ordering and shipping process. Very quick delivery. And the book was fantastic!,0.8221
"The experience was great! I was able to purchase the e-book first, to be ready to read with my book club. Then I was able to order the printed paper copy within a few days, and due to the affordability of the e-book, and paper book- the portability of having BOTH versions available was amazing. I am sad that the e-book version does not like either my tablet or my phone or my laptop. The page numbers hover etc. This is sad. I continue to be frustrated that either the world is android or apple and no-two can mix.",-0.1536
"Excellent choice, prompt deliveries + support local bookshops - what's not to like.",0.6474
"Great selection, quick shipping, and it helps my local Indie book shop.",0.7717
In stock with the books I wanted for my nephew and very quick delivery.  Also nice to support a Company that is not Amazon.,0.6101
Excited to have received my copies of The Worried Well earlier than expected! Thank you for shipping this amazing book I’ve been wanting to read so promptly.,0.8622
"Bookshop.org is my go-to. Never looked for something that didn't show up in search. Fast ship, pristine condition. A+++",0.0
Got what I ordered on time and it came in perfect condition,0.5719
So easy to place my order.  Books always packaged well and shipped quickly.  Good communication on shipping as well.,0.8516
Good prices and great communication!,0.807
"Easy shopping, fast delivery!",0.4926
Sales on books. Supports smaller businesses. I only wished they had a faster shipping process.,0.3612
Regular & accurate delivery information.  Well packaged to ensure no damage to books.,0.7452
Able to buy a book I wanted in cooperation with an independent retailer rather than a big nasty corporation. Fair pricing and easy process.,0.1531
"Wanted an alternative to Amazon and so glad I found somewhere that supports local bookshops. I’ve recently joined a book club so ended buying a few books in advance and qualified for free shipping. Competitively priced, fast delivery and will definitely be ordering from again!",0.915
It took longer than expected to arrive,0.0
"Competitively priced book, easy to navigate website, clear communication and prompt delivery. Excellent.",0.8481
Great company!,0.6588
"Perfect service, and to know it helps independent bookshops is why I'll be buying from them again.",0.743
On time and the right address,0.0
Excellent service. Good cause.,0.765
wellthe quick deliveryan outlet that isn't about money first  middle n last!selling Dr Bredersen's book on brains,0.0
"super fast shipping, I found everything I wanted, and I love that I can choose a shop to have a donation sent to! will definitely shop here again",0.902
"I found exactly what I was looking for, and I even found something that I didn't expect to find!  The books arrived quickly and in great shape.",0.6588
"This was my first order with Bookshop.  My package was lost...However, I emailed Bookshop, and they quickly responded and resent my order promptly!  No more shopping on Amazon for books!",-0.3654
The excellent delivery response.,0.5719
Placing the order was very easy and efficient.  I gave only four stars because of slow delivery. A full 10 days.,0.7397
"The gift book shipped quickly and the cost was fair, imo. Personally, I’ll support my local bookstore even if shipping  is a bit more.",0.7845
An awesome alternative to ordering from Barnes and Noble or (ick) Amazon.,0.8316
"Always professional prompt service for the best books, thank you! My go to for gifts for my children living abroad. Wonderful to be able to support independent book sellers this way!Only wish you operated in the Antipodes...",0.9467
"Brilliantly friendly and helpful shop. Easy to orrder. Book arrived as expected, in good time and excellently packaged.",0.9633
"Book received in decent time even if not ""Prime.""",0.0
Fast delivery and I so appreciate the earth-friendly packaging.,0.541
Fantastic service and a benefit to writers and independent booksellers everywhere!,0.784
The books are in perfect condition! You sent them promptly after I ordered them. Your website was easy to navigate. Thank you,0.8553
I love the ability to support bookstores and authors. I was glad to be able to support an author who launched their new book. The book arrived fast and gave me a great alternative to other places I've shopped for books before.,0.9612
Timely arrival and well packed,0.2732
Great service and I love supporting Independent Bookstores! The book I ordered was delivered very promptly. Thank you.,0.9357
"A smoother purchase is not possible.  Ordering was easy, shipment was fast with book securely packaged. Most important, the item was as described. Definitely would purchase from again.",0.8439
"My experience was fine, no problems. The book arrived in a timely manner. This was my first experience, so I’ll withhold further judgement. You are not Amazon and that’s great.",0.7677
I am very pleased with my first order from Bookshop.org!,0.54
Great service and delivery.  I wa kept updated.,0.6249
"So far all of my books have arrived on time and in good condition, plus I get to support independent bookstores!It's a little pricier than amazon but that's the cost of working with small businesses.",0.5123
"Ease of ordering, timeliness of shipment and quality of the product upon arrival.",0.3612
"Love that it’s another option that’s not just amazon, experience was great and the books came in perfect condition!",0.9148
Great selection of books and the fact that purchases go to support independent bookstores and circumvent the large mainstream outlets is the big positive and ethical draw for me.,0.9287
"Fast shipping, the website was easy to use and the books are in great condition. I love that they donate to libraries and local bookstores. Will buy again!",0.9098
Although out of stock when ordered book delivered by post 2 days later - no complaints,0.3089
found the books I wanted easily and check out went smooth.,0.34
"Prompt, accurate and speedy delivery. Excellent service. 👍",0.5719
A1 all round!Fast delivery and well packed item.,0.3382
"Easy to order, prompt fulfillment and it is supporting a small business, not Bezos.",0.7003
Book was in perfect condition and came quickly.,0.5719
"I was amazed at the speed at which my order was fulfilled, especially as one of the books was a field guide to birds, animals, and plants of the Arctic--not something that is on everyone's bookshelf. Happy to help support my local independent bookstore too.",0.9337
Good very good love the book,0.8903
Good service,0.4404
